DEBUG | 2016-09-24 06:07:52,434 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:07:54,784 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:07:54,784 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:09:15,719 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:09:15,720 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:09:17,923 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:09:17,924 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:09:25,368 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:09:25,368 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:09:34,314 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:09:34,314 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:09:49,469 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:10:18,894 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:10:18,895 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:10:21,259 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:10:21,259 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:10:56,758 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:10:56,758 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:11:11,816 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:11:54,184 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:12:04,748 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:12:04,749 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:16:21,901 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:16:21,901 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:16:33,317 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:16:33,318 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:16:41,574 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:23:53,016 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:23:53,016 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:29:37,558 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:29:37,558 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:29:47,608 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:29:47,608 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:30:58,701 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:30:58,702 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:31:05,042 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:05,043 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:31:16,306 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:16,307 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:31:18,767 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:18,768 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:31:20,968 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:20,969 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:31:32,556 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:43,579 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:43,579 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:31:56,398 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:31:56,398 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:32:10,634 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:51:18,855 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:51:44,332 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:51:44,332 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:51:47,222 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:51:47,222 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 06:51:49,171 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-24 06:51:49,172 | auth_controller.py:60 | logout | Exit method signout.
DEBUG | 2016-09-24 07:47:40,363 | auth_controller.py:51 | logout | Entering method signout.
DEBUG | 2016-09-29 20:57:38,544 | auth_controller.py:18 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-09-29 20:57:38,545 | auth_validator.py:5 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-09-29 20:57:38,545 | auth_validator.py:28 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-09-29 20:59:50,230 | auth_controller.py:18 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-09-29 20:59:50,231 | auth_validator.py:5 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-09-29 20:59:50,231 | auth_validator.py:22 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-09-29 20:59:50,231 | auth_dao.py:9 | authenticate | Entering method authenticate of auth_dao.
DEBUG | 2016-09-29 21:01:43,457 | auth_controller.py:18 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-09-29 21:01:43,458 | auth_validator.py:5 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-09-29 21:01:43,458 | auth_validator.py:22 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-09-29 21:01:43,458 | auth_dao.py:9 | authenticate | Entering method authenticate of auth_dao.
DEBUG | 2016-09-29 21:05:03,883 | auth_controller.py:18 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-09-29 21:05:03,883 | auth_validator.py:5 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-09-29 21:05:03,884 | auth_validator.py:22 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-09-29 21:05:03,884 | auth_dao.py:9 | authenticate | Entering method authenticate of auth_dao.
DEBUG | 2016-09-29 21:06:34,466 | auth_controller.py:18 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-09-29 21:06:34,467 | auth_validator.py:5 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-09-29 21:06:34,467 | auth_validator.py:22 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-09-29 21:06:34,467 | auth_dao.py:9 | authenticate | Entering method authenticate of auth_dao.
DEBUG | 2016-09-30 15:29:12,996 | auth_controller.py:18 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-09-30 15:29:12,997 | auth_validator.py:5 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-09-30 15:29:12,997 | auth_validator.py:22 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-09-30 15:29:12,997 | auth_dao.py:9 | authenticate | Entering method authenticate of auth_dao.
DEBUG | 2016-09-30 15:29:18,459 | user_controller.py:122 | get_my_profile | Entering method of update_my_profile of user_controller.
DEBUG | 2016-09-30 15:29:18,459 | user_dao.py:81 | get_my_profile | Entering method get_my_profile of user_dao
DEBUG | 2016-09-30 15:29:18,542 | user_dao.py:87 | get_my_profile | Exit method get_my_profile of user_dao
DEBUG | 2016-09-30 15:29:18,542 | user_controller.py:128 | get_my_profile | Exit method of update_my_profile of user_controller.
DEBUG | 2016-09-30 15:29:20,313 | user_controller.py:122 | get_my_profile | Entering method of update_my_profile of user_controller.
DEBUG | 2016-09-30 15:29:20,313 | user_dao.py:81 | get_my_profile | Entering method get_my_profile of user_dao
DEBUG | 2016-09-30 15:29:20,318 | user_dao.py:87 | get_my_profile | Exit method get_my_profile of user_dao
DEBUG | 2016-09-30 15:29:20,318 | user_controller.py:128 | get_my_profile | Exit method of update_my_profile of user_controller.
DEBUG | 2016-10-04 14:01:55,570 | auth_controller.py:12 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-10-04 14:01:55,573 | auth_validator.py:6 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-10-04 14:01:55,574 | auth_validator.py:23 | authenticate | Exit method authenticate of auth_validator.
DEBUG | 2016-10-04 14:01:57,867 | auth_controller.py:12 | authenticate | Entering method authenticate of auth_controller.
DEBUG | 2016-10-04 14:01:57,867 | auth_validator.py:6 | authenticate | Entering method authenticate of auth_validator.
DEBUG | 2016-10-04 14:01:57,868 | auth_validator.py:23 | authenticate | Exit method authenticate of auth_validator.
